id;is_misinfo;Tweets,,,,,,,,,,,,,
1,34361E+18;0;Happy to be getting my first dose of vaccine! It's time that COVID-19 F**ked off - vaccines in arms is his that's going to happen #upyourscorona https://t.co/X8gL1RQJNo,,,,,,,,,,,,
"Feels good to be fully #vaccinated""",,,,,,,,,,,,,
1,35918E+18;0;Just got my first dose of the covid vaccine! So thankful for all the scientists and frontline workers who have made it possible!,,,,,,,,,,,,
1,34659E+18;0;If you date straight white cis men, don’t worry about what’s in the vaccine,,,,,,,,,,,
1,"34689E+18;0;""Aight.... seriously", though.,,,,,,,,,,,
,,,,,,,,,,,,,
"Can I get my vaccine now?""",,,,,,,,,,,,,
1,"34439E+18;1;""Dr Opas Karnkawinpong"," director-general of the Disease Control Department: """"Covid-19 vaccines are still new and their effectiveness have still not been determined"""".",,,,,,,,,,,
,,,,,,,,,,,,,
Why such a hard push by so many countries for an unproven vaccine?<U+0001F914>,,,,,,,,,,,,,
,,,,,,,,,,,,,
#NoVaccineForMe,,,,,,,,,,,,,
<U+2764><U+0001F1FA><U+0001F1F8>,,,,,,,,,,,,,
"https://t.co/VHk4bxNUOo""",,,,,,,,,,,,,
1,"37297E+18;0;""100 Million doses of COVID vaccine in arms nationwide as of today",,,,,,,,,,,,
"https://t.co/3gJwA9AZxY""",,,,,,,,,,,,,
1,37405E+18;0;Thankful my parents got the vaccine just in time before I give birth to have a better peace of mind to meet their granddaughter <U+0001F62D><U+2764><U+FE0F>,,,,,,,,,,,,
1,"38736E+18;0;""Are you really this- /",,,,,,,,,,,,
stupid or do you just play- /,,,,,,,,,,,,,
stupid on podcasts? /,,,,,,,,,,,,,
https://t.co/8Z0hdxe4GL,,,,,,,,,,,,,
"#haiku #joerogan #CovidVaccine #covid19 #covidiot #VaccinesWork""",,,,,,,,,,,,,
1,3454E+18;1;When has Hollywood ever cared about your feeling and sensitivity? You need to watch Utopia on Amazon. Season 2 won’t be made because it’s falling in-line of what we are seeing today. Pandemic, vaccine, depopulation and sterilization. https://t.co/xzmku9P2AN,,,,,,,,,,
1,"38823E+18;1;""Stop the JAB! It is not a vaccine!",,,,,,,,,,,,
"It is a bioweapon to control &amp; eliminate select portions of society.""",,,,,,,,,,,,,
1,34477E+18;0;Everyone saying “goodbye 2020” and acting excited for 2021... But we are still in quarantine, arguing over money, and fighting over a vaccine without an end in sight. 2021 doesn’t seem like it’ll be much different <U+0001F605><U+0001F605> https://t.co/gyWP1MT6tc,,,,,,,,,,
1,36025E+18;0;My mom got her first vaccine this morning!,,,,,,,,,,,,
1,34221E+18;0;If you’ve ever drank the vodka in Benidorm don’t worry about what’s in the vaccine x,,,,,,,,,,,,
1,34412E+18;0;Incredibly grateful to get the vaccine. #moderna #igottheshot #maskup @ Kaiser Permanente Medical Center https://t.co/m1ETRn259a,,,,,,,,,,,,
1,3733E+18;0;First Covid vaccine done and dusted! Do I have superpowers now?? <U+0001F917>,,,,,,,,,,,,
1,"36003E+18;1;""Amazing how people who died within 28 days of a positive PCR """"test"""" are classified as CV19 deaths.",,,,,,,,,,,,
,,,,,,,,,,,,,
But if someone dies within days of receiving the gene therapy shot (mRNA vaccine) it is attributed to underlying causes.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"#SARSCoV2""",,,,,,,,,,,,,
1,39008E+18;0;(Mirror):#Experimental #Moderna jab 'neutralises Brazil and South Africa Covid variants' : Latest trials also found a third dose of either its current Covid-19 shot or the experimental new vaccine candidate increases immunity .. #TrendsSpy https://t.co/j1otjYiK4k https://t.co/Cv1Klw1Vea,,,,,,,,,,,,
1,"38706E+18;0;""Very happy to have received the @pfizer COVID-19 vaccine today.  Thank you Ontario!",,,,,,,,,,,,
"#GetVaccinated #ThankYou https://t.co/nV8A429aeB""",,,,,,,,,,,,,
1,37296E+18;0;#vaccinated and yes, side effects already. Really poor dad dancing in the kitchen. #AstraZeneca,,,,,,,,,,,
1,"38782E+18;1;""https://t.co/0z6xLyG7XT",,,,,,,,,,,,
,,,,,,,,,,,,,
"COVID-19 VACCINE: A Slow-Motion Genocidal Bioweapon… https://t.co/qj6Laiaeke""",,,,,,,,,,,,,
1,"3469E+18;0;""Ready for round two: More COVID vaccines will be in Osceola ‘very shortly’",,,,,,,,,,,,
https://t.co/SKpBJxYKAD,,,,,,,,,,,,,
"#vaccine""",,,,,,,,,,,,,
1,"37377E+18;0;""Unlike in the tournament", it’s good to be one &amp; done. Grateful I just got the Johnson &amp; Johnson vaccine. ,,,,,,,,,,,
,,,,,,,,,,,,,
An enormous “Thank You” to all of the scientists &amp; policymakers that made this vaccine happen, and helped ramp up production. ,,,,,,,,,,,,
#gratitude ,,,,,,,,,,,,,
#StayHealthy #StaySafe ,,,,,,,,,,,,,
"<U+0001F489><U+0001FA7A><U+0001F90D><U+0001F44F> https://t.co/GT9nZwYvVN""",,,,,,,,,,,,,
1,34618E+18;0;Just got my COVID vaccine! <U+0001F92A><U+0001F92A> #MedTwitter https://t.co/PZB6IOXbLn,,,,,,,,,,,,
1,"34264E+18;1;""Global reset means genocide(80% depopulation plan) and communism. China", Mexico &amp; “purple revolution” are overthrowing the U.S. The virus," lockdowns &amp; “vaccine” are pre-planned weapons of this war. Ties to spygate cover-up (AKA crossfire hurricane). Thread https://t.co/0heTaDzoIu""",,,,,,,,,,
1,38742E+18;1;Family friend just died of experimental convid vaccine! Depopulation underway @UN @BillGates @OpenSociety @wef @youfuckingpsychopaths,,,,,,,,,,,,
1,37239E+18;1;Covid-19 is a flu seasonal flu. If you don't believe this check out CDC. The so-called vaccine that government wants you to take gene therapy. Vaccines give you no immunity to a virus and spreading the virus. I hope you invested in vaccine you're taking they're making billions!,,,,,,,,,,,,
1,"38828E+18;0;""Turkish Health Ministry authorizes use of Sputnik V vaccine", health minister says,,,,,,,,,,,
,,,,,,,,,,,,,
@sputnikvaccine #SputnikV #CovidVaccine  ,,,,,,,,,,,,,
"https://t.co/ztGHTmnJjM""",,,,,,,,,,,,,
1,35932E+18;0;got my first dose of the Covid vaccine yesterday and my body ACHES,,,,,,,,,,,,
1,38828E+18;0;These vaccine symptoms are no joke...holy shit I hurt..,,,,,,,,,,,,
1,37329E+18;0;I getting my first vaccine by the US army!,,,,,,,,,,,,
1,"38819E+18;1;""If you got the """"vaccine""""...",,,,,,,,,,,,
,,,,,,,,,,,,,
" CONGRATULATIONS YOU SHEEP!!""",,,,,,,,,,,,,
1,3469E+18;0;Got the first shot of my covid vaccine this morning!,,,,,,,,,,,,
1,34311E+18;0;If you mix gold and silver jewelry dont worry about whats in the vaccine,,,,,,,,,,,,
1,"37184E+18;1;""A despirate", deliberately rushed vaccine for the non-event yearly flu WILL lead to complications, long term illnesses &amp; deaths. ,,,,,,,,,,
"It'll be blamed on the NEW more deadly """"variants"""" leading to even more lock downs &amp; new manditory vaccinations<U+0001F489>",,,,,,,,,,,,,
"Global depopulation has begun<U+2620><U+FE0F>""",,,,,,,,,,,,,
1,37375E+18;0;Dose 1 of my vaccine!! <U+0001F62D><U+0001FA79><U+0001F389> https://t.co/kPMwjvp9Ne,,,,,,,,,,,,
1,"36027E+18;0;""I got a PS5 and my second dose of the covid vaccine.  Probably the closest I'll ever get to being """"the one percent"""".""",,,,,,,,,,,,
1,"39037E+18;1;""People so fuckin stupid ",,,,,,,,,,,,
1. You take a rushed vaccine that you have no clue what's REALLY in it.,,,,,,,,,,,,,
2. Do your research on a Virus vaccine, a REAL vaccine doesn't take 6-8 months to make and become effective.,,,,,,,,,,,,
"3.Even if you take the """"Vaccine"""" you still can catch the Virus Dumbass.""",,,,,,,,,,,,,
1,34189E+18;1;Proof the bioweapon is white. The vaccine has nanotechnology for tracking. It isnt a theory its a FACT https://t.co/2blwjgQPvu,,,,,,,,,,,,
1,3469E+18;0;I’m ready to take this COVID-19 vaccine...fuck it.,,,,,,,,,,,,
1,"34419E+18;0;""#KamalaHarris: Today I got the #COVID19 vaccine. I am incredibly grateful to our frontline health care workers", scientists, and researchers who made this moment possible. ,,,,,,,,,,
,,,,,,,,,,,,,
When you’re able to take the vaccine," get it. This is about saving lives. (Pic: Kamala Harris Twitter) https://t.co/VUDT56zTl1""",,,,,,,,,,,,
1,34675E+18;0;if you think australian accents are hot, don’t worry about what’s in the vaccine,,,,,,,,,,,
1,"34408E+18;0;""Humbly grateful for COVID vaccine.  Hopeful.  In awe of the nurses and pharmacists who give THOUSANDS of doses", to protect as many as they can. Praying it’s widely available soon.,,,,,,,,,,,
@1of2vics @jamesrachal3 ,,,,,,,,,,,,,
#ThisIsOurShot ,,,,,,,,,,,,,
#Notthrowingawaymyshot,,,,,,,,,,,,,
#FauciOuchie ,,,,,,,,,,,,,
"#AtriumHealthProud https://t.co/8iDHqgWFP9""",,,,,,,,,,,,,
1,3901E+18;1;EXTERMINATION machine unmasked: Why vaccinated people are making HEALTHY people sick, Pfizer document admits vaccinated people “shed” infectious particles, the spike protein is the bioweapon https://t.co/2KPYi76kkU,,,,,,,,,,
1,34219E+18;0;if u think animesexual is a valid lgbtqia+ identity, don’t worry about what’s in the vaccine,,,,,,,,,,,
1,37407E+18;0;My dad is waiting in line to get his vaccine right now! So happy for him! Everyone needs to do it! I’m waiting for my turn! Dying to do more normal things without worrying about stupid ppl not being careful,,,,,,,,,,,,
1,"37382E+18;0;""Received first dose of Moderna today. The phenomenal @2weddingbelles booked my appointments and is a clear favorite for Sister of the Year. ",,,,,,,,,,,,
,,,,,,,,,,,,,
"Truly lucky and grateful. <U+0001F489>""",,,,,,,,,,,,,
1,34613E+18;0;Just got the second dose of the covid vaccine <U+0001F643>,,,,,,,,,,,,
1,"37329E+18;0;""24 hours after the #johnsonandjohnson #vaccine and we're just down to some pretty acute body aches. Not sure if I ever had a fever", since I slept for, like, 10 hours last night, which is pretty unusual for me.,,,,,,,,
,,,,,,,,,,,,,
But, again, I'm immunocompromised," so YMMV.""",,,,,,,,,,
1,"34601E+18;1;""Waiting for someone in """"journalism"""" to tell people this basic fact: """"CoVid vaccine"""" is not a vaccine. It's experimental gene therapy """"approved"""" under legal loophole that was originally created to respond to biological terror attacks and allows the FDA to skip basic safety trials https://t.co/jbI9U4i3Wf""",,,,,,,,,,,,
1,37229E+18;1;When is a Vaccine not a Vaccine? – Answer When it is an Experimental Gene Therapy https://t.co/ReVzQ9Js4p via @https://twitter.com/UnityNewsNet,,,,,,,,,,,,
1,"37303E+18;0;""Still looking for a vaccine appointment? Dr. B portal may be able to help you…. #leftovervaccines #shotsinarms #getvaccinated",,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/genRiUCynL""",,,,,,,,,,,,,
1,34394E+18;0;Grateful to God for the scientists who have created a vaccine. Still upset grown men and women have to be told to wash their hands, cover their mouths when they cough.....,,,,,,,,,,,
1,38758E+18;0;“A nurse said, giving the (vaccine) shot is like giving a dose of hope” @POTUS addressing Joint Session of Congress #VaccinesWork #vaccinated #vaccinate #COVID19 #inittogether,,,,,,,,,,,
1,34505E+18;1;What is it like to not even worry about or consider the possibility of adverse reactions, to just take an experimental vaccine? Is it blissful ignorance, poor judgement, brainwashing, health, genetic luck? It’s a lottery of the worst kind. “May the odds be ever in your favor”-<U+0001F494>,,,,,,,
1,"38999E+18;0;""A GTA family member messaged me they are COVID positive &amp; feeling unwell. Dear NACI: they did not vaccine shop &amp; were fully vaccinated with AZ in March...and I'm so grateful for that. #GetVaccinatedASAP #GetTheShot""",,,,,,,,,,,,
1,38719E+18;0;you know it’s a weird year when you ask for the vaccine as your birthday gift #getvaccinated,,,,,,,,,,,,
1,34684E+18;0;if you've ever downloaded a game by Voodoo, you do not need to worry about what's in the Covid vaccine,,,,,,,,,,,
1,36023E+18;1;The vaccine isn't even a vaccine. It's gene therapy, genetic engineering. Highly experimental, past experiments with gene therapy haven't turned out well. A few deaths, and they ground the research to a halt in the mid 2000s.  Calling it a vax is deceptive and wrong.,,,,,,,,,
1,37399E+18;1;If you take a vaccine “experimental gene therapy” for a virus with a survival rate above 99% you have to be a special kind of stupid,,,,,,,,,,,,
1,37399E+18;0;only time i’m thankful for my blood disorder is i can get my vaccine sooner,,,,,,,,,,,,
1,36037E+18;0;I got my first Covid-19 vaccine dose this morning!,,,,,,,,,,,,
1,38747E+18;0;Today’s lunch includes a 2nd helping of Moderna with a side of relief. #vaccinated https://t.co/cyc4NImREx,,,,,,,,,,,,
1,38614E+18;1;The elites ain’t wearing a mask when the cameras NOT on you stupid mfs! They aren’t worried about Covid 19 or getting a vaccine I promise you.  THEY ARE SELLING LIES.  Human eugenics also known as depopulation, you hear talks about it all the time it’s at works here.  #JustSayNo,,,,,,,,,,,
1,3591E+18;1;It's not a vaccine it's gene therapy.,,,,,,,,,,,,
1,"34575E+18;1;""Heard ppl are getting sterile with Gates vaccine.  It’s Called depopulation @PressSec @realDonaldTrump  @EvanAKilgore  @GenFlynn @MariaBartiromo  @seanhannity @SaraCarterDC  @RudyGiuliani  @SidneyPowell1  @TeamTrump  @seanhannity  @Candice ",,,,,,,,,,,,
"@LLinWood @GOPLeader @GOP @CDCDirector""",,,,,,,,,,,,,
1,37186E+18;1;Everyone who will not be getting the most rushed vaccine in human history for a virus that roughly 99.8% of people recover from and that is not approved by the FDA raise your hand<U+0001F64B><U+200D><U+2642><U+FE0F> #NoThanks,,,,,,,,,,,,
1,34449E+18;0;I am so excited for post-vaccine life, I am shopping for dresses and lipstick, even though I haven't worn either in 9 months.,,,,,,,,,,
1,37294E+18;0;I’m most excited about the vaccine giving me an antbody! Ants can lift so much! #vaccinated #vaccines #PfizerProud #PfizerGang #Antibodies #ants,,,,,,,,,,,,
1,34683E+18;0;Is it too late/soon to say if you go to bus crawls dont worry about what's in the covid vaccine,,,,,,,,,,,,
1,3593E+18;0;My mom just got her vaccine shot scheduled for next Tuesday <U+0001F973>,,,,,,,,,,,,
1,34448E+18;0;Getting the Covid vaccine tomorrow. Nervously excited.,,,,,,,,,,,,
1,34468E+18;0;this year was pretty bad for me even aside from the whole pandemic thing but I still found joy in a lot of places and goodness still revealed itself to me in many ways. My future is looking up and I am excited for what the next year will bring (especially that vaccine),,,,,,,,,,,,
1,38716E+18;0;Okay I survived the first Pfizer vaccine. I did have a bit of a thing right after, felt a little asthma-like and dizzy for a few but they just kept an eye on it for a bit and can't wait to get the 2nd. Barely felt it. #GetVaccinated <U+0001F60E>,,,,,,,,,,,
1,37297E+18;0;I just got my first vaccine <U+0001F973><U+0001F973><U+0001F973>and my mom <U+0001F973><U+0001F973><U+0001F499><U+0001F499>,,,,,,,,,,,,
1,37414E+18;0;Scheduled for my first dose of the COVID vaccine on Wednesday! <U+0001F489> Driving about 45 minutes away for it, but worth it! <U+0001F497>,,,,,,,,,,,
1,3439E+18;0;Grateful for my 52 birthday! Today I also get my COVID vaccine since I am a doctor. I have one wish for today, that at least one of my favorites influencers/creators wish me happy birthday! @Casey @petermckinnon @beckiandchris @DrChrisNicholas @garyvee <U+0001F91E><U+0001F3FB> https://t.co/X9WakhKuHt,,,,,,,,,,,
1,"38741E+18;0;""Western Europe #pandemic #COVID19 UPDATE #Europe #UK #COVID19france #Belgium #Netherlands #Germany #Italy #Austria #Ireland #Spain #France #Portugal #Switzerland #Denmark #vaccine #Europa #ThirdWave #vaccine #VaccinesWork #lockdown2021 ",,,,,,,,,,,,
"R numbers/EPI. https://t.co/SoMcgl6R3i https://t.co/wGZ0xIhC3U""",,,,,,,,,,,,,
1,"3598E+18;1;""it's not a vaccine @StephenNolan ",,,,,,,,,,,,
it's gene therapy to change our DNA,,,,,,,,,,,,,
then they own you by patent,,,,,,,,,,,,,
"you're GMO""",,,,,,,,,,,,,
1,36033E+18;0;I just got my first dose of the Covid Vaccine I love that for me,,,,,,,,,,,,
1,34308E+18;0;if u have a <U+0001F49A><U+0001F49C> on your acc then dont worry about what’s in the vaccine,,,,,,,,,,,,
1,"39034E+18;0;""coworker was legit like no i'm not getting the vaccine rn", too dangerous... anyway i'm going to turkey or croatia this summer <U+2B50><U+0001F352>,,,,,,,,,,,
"you know what's dangerous you daft bish? traveling to a tourist hotspot in the middle of the pandemic lmao""",,,,,,,,,,,,,
1,3469E+18;0;Rollout Strategy for the Pfizer-BioNTech COVID-19 Vaccine in Ontario <U+0001F449> https://t.co/Uer7CfzfWq #CovidVaccine #coronavirus #COVID19,,,,,,,,,,,,
1,"34622E+18;0;""When we come out of lockdown and they inject that vaccine into my bloodstream"," my life motto will be """"inshallah and vibes""""""",,,,,,,,,,,
1,3611E+18;0;2 million doses of Covid vaccine given in one day! Are they using Andrew Cuomo math to get those numbers?,,,,,,,,,,,,
1,34525E+18;1;Imagine telling your grandchildren in years to come that you thought a bacterial filled piece of cloth and a toxic untested vaccine would protect you from a non existent virus.,,,,,,,,,,,,
1,34219E+18;0;If you live down marbach don’t worry about what’s in the vaccine.,,,,,,,,,,,,
1,3467E+18;0;If you’ve worn makeup from spirit Halloween you don’t need to worry about what’s in the vaccine,,,,,,,,,,,,
1,"34413E+18;1;""I kept feeling that Bill Gates was showing too much happy emotion talking about depopulation and/or his vaccine. Video showed me where I've encountered it before.",,,,,,,,,,,,
,,,,,,,,,,,,,
God protect us all.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/O0S9CxlzFO""",,,,,,,,,,,,,
1,34223E+18;0;if you’d eat a mcrib you don’t need to worry about what’s in the vaccine,,,,,,,,,,,,
1,35985E+18;1;Preexisting conditions or not, if you want to try experimental gene editing technology, used as a vaccine for something no more dangerous than a bad flu, go ahead. But it is not for me, with my COPD. I have chest infections all the time, which mean I need take .....,,,,,,,
1,34667E+18;0;If you walked anywhere outside of your house barefoot, don’t worry about what’s in the vaccine <U+0001F637>,,,,,,,,,,,
1,3422E+18;0;if you've ever been to the blue lagoon on argyle street after a night out don't worry about what's in the vaccine,,,,,,,,,,,,
1,387E+18;0;If y’all eat tasty cakes... don’t worry about what’s in the vaccine,,,,,,,,,,,,
